itemid,mean_bin,mean_cont,mean_disc,mean_disc_imp,std_bin,std_cont,std_disc,std_disc_imp
50801,0.000152205983016298,2.1002300251759334e-05,0.0,0.0,8.1264138666943e-05,2.6165630282629695e-05,0.0,0.0
50802,0.0032883418376672803,0.0021397033001508197,0.0,0.0,0.000367976395999611,0.00035140794332051277,0.0,0.0
50803,0.00026138199299774,0.00011314570115628002,0.00028067068359593995,0.00027038709362522,9.237337174256282e-05,4.795377038176753e-05,0.00010072924497828717,0.00010590951892263702
50804,0.00339893953601554,0.00198333441780174,0.0032224857724369796,0.0032444909233822804,0.0007240377208173621,0.0003800219280646175,0.0004374900516644728,0.000748415044319269
50805,6.233665304989998e-06,8.425797377304862e-06,2.6290548453436676e-05,2.622108307366257e-05,7.112172236587757e-06,1.1719263686081388e-05,1.58235572622798e-05,2.4043875983047418e-05
50806,0.00072182161434186,0.0001737248240775,0.00046714781087103997,0.00047608277515246,9.74963811346911e-05,6.659401666373962e-05,5.559170385625402e-05,7.977203953666465e-05
50808,0.00480437512195858,0.0013231726697187601,0.00317698775835748,0.00300823635505692,0.00044779115347806837,0.00012720552486074116,0.0004103278283534999,0.00025617631677259204
50809,0.0008691238688255599,0.00019290527032478,0.00047488234138424003,0.00044734023691842,0.00015040501152876944,6.192296188787597e-05,0.00015677170658020563,9.841726966891177e-05
50810,0.00061849738143778,0.00019429195915234273,0.0,0.0,0.00022782163148258463,9.545567149307863e-05,0.0,0.0
50811,0.00062367374051792,8.929314786162892e-05,0.00043106939290528,0.00046672153900398,0.00011458149340010645,2.9404465644305946e-05,6.660613844543439e-05,0.00017753492866534137
50813,0.007135065733223101,0.0021872563702656196,0.00427464377871822,0.0041844316594533805,0.0009616873300375322,0.0001279564738109866,0.000248387130896413,0.0005739979295694339
50814,7.961448686334613e-05,2.285765578442558e-05,9.214083872444449e-05,0.0001294978196770214,3.7250429454811784e-05,2.284231076055858e-05,3.222987838943734e-05,9.329480972510426e-05
50815,0.0002068079941787,2.919607294847428e-05,0.0,0.0,2.0702212273555636e-05,2.091075774227962e-05,0.0,0.0
50816,0.00033328963971964,8.174161816260834e-05,0.0,0.0,6.594340827617788e-05,7.210924447204293e-05,0.0,0.0
50817,0.00063021497962814,0.00024750939249382003,0.0,0.0,0.0001851939571061726,3.301304551724017e-05,0.0,0.0
50818,0.00298556322043868,0.00227431883823758,0.00370521957716292,0.0036573007338279,0.00029448008272889,0.0005925982037270059,0.00039388617493746,0.00021255932219621084
50819,0.00023449232507213999,7.579650535391912e-05,0.0,0.0,8.755076285441627e-05,4.608149397944018e-05,0.0,0.0
50820,0.00526558300723974,0.00279788380024234,0.00445097530359916,0.004378001878936199,0.000783943074348453,0.00041605235148330745,0.00038326739850292225,0.0002776921069806619
50821,0.00294890180725514,0.0016957753915992399,0.0031384732360604803,0.00340106931672092,0.0003243600370495796,0.0003685172143305559,0.0005012060738272348,0.00041032562568208737
50822,0.006383789204136859,0.00115836967752016,0.0027719220311157597,0.0025929902242061405,0.0009027173034503083,0.0002247577819917908,0.0004143013143118502,0.00020302758314008762
