model,measure,mean_cont,std_cont,mean_disc,std_disc,mean_disc_imp,std_disc_imp,mean_bin,std_bin,mean_cont_bin,std_cont_bin,mean_disc_bin,std_disc_bin
rf,auc_roc,0.855695257812606,0.020744555906212502,0.8450062170135293,0.022645182915523764,0.8455931650790689,0.024809888599193988,0.7378815804172508,0.034879142713157216,0.8578695298892761,0.02207127138152861,0.8425488305797189,0.024265180547516526
rf,avg_prec,0.6128451859408365,0.05771026248730313,0.5882609045830729,0.05050066884806281,0.5930355686608129,0.05420897382877276,0.40272430275994625,0.04914580189870499,0.6151787243915802,0.06967894921395847,0.5844136528356172,0.05304768149515924
rf,f1,0.4798958785459904,0.046305197263092936,0.48262593760677397,0.048743090773990444,0.48850215435130623,0.0681270963610964,0.4039310484424635,0.035959771023324066,0.46241788515412463,0.04482681880304901,0.4644740835412887,0.04851014557640996
rf,mcc,0.4162767007711996,0.06128455289384222,0.4036328984653178,0.05172279932520829,0.40715248322061387,0.08026444071130295,0.24492980344632106,0.051190710217162004,0.39997000212083755,0.061843824184602436,0.3872753674486316,0.05753939332693077
rf,balanced_acc,0.6601532390790135,0.022405997801434048,0.6627788411706981,0.02558044171947511,0.6658795385788668,0.03478778595816448,0.6175552092241328,0.022394952565367703,0.6513858183547223,0.02159294104270335,0.6530726783810132,0.024501132715658798
balanced_rf,auc_roc,0.8600936075312366,0.02331141065771699,0.85137531776073,0.023554840264082288,0.8501864229794979,0.024617518405828754,0.7620429242348976,0.02769920846242649,0.8628152189430043,0.024632608859788126,0.8509345164799896,0.023853696519537407
balanced_rf,avg_prec,0.6230985038599927,0.07097189020242302,0.598182345686436,0.05450706019264464,0.6003744213302691,0.06054070641456825,0.4268276774636619,0.04738721688753711,0.6282676318716733,0.07008109982948763,0.5886512927126749,0.06270202794710535
balanced_rf,f1,0.6360091300525383,0.023646897488177096,0.6252591338070224,0.023591487537016124,0.6203682418864485,0.04086550476565094,0.486132561117189,0.03585138853538163,0.6391196914190317,0.03257417496287757,0.6180030540328528,0.03100685493990796
balanced_rf,mcc,0.5231946012499661,0.02948552094465763,0.5072739140739931,0.03144689299871769,0.5006127239468329,0.0550091421328859,0.30807778510419137,0.0512560491226888,0.5271533105080908,0.04215947656751942,0.4972971619792557,0.041367399815341044
balanced_rf,balanced_acc,0.7821627808077916,0.020883725616260465,0.7792574851345845,0.019693692254993973,0.7746830016221087,0.03178646124393257,0.6778396457857586,0.0291058855370223,0.7844224913738275,0.02524069775967286,0.7729388695230146,0.023838215451575894
catboost,auc_roc,0.8555426480372648,0.019506160699102285,0.8479209195727897,0.024089433349361603,0.8466342087931883,0.023431287006170688,0.783498835653031,0.032885448389857526,0.8557590962102001,0.021663814072332584,0.8463500498870168,0.019657569277762584
catboost,avg_prec,0.6322296118908639,0.05027700834764569,0.6098411176922057,0.05445211444298023,0.6125056746984874,0.052705822432614687,0.4856187882862284,0.05511804118515862,0.6277936068283733,0.05941236139790116,0.6084323533289835,0.0480101560881195
catboost,f1,0.5493900733380196,0.04906069683904622,0.5444506082251725,0.04536350383946684,0.5525688883829589,0.04052573604838185,0.30865646838543326,0.020562261843608796,0.5573336668765475,0.04475037338152237,0.5402991763529436,0.04787763884288457
catboost,mcc,0.45814543214683406,0.05671068845036752,0.44981218954897884,0.052527751405444634,0.4587191879115237,0.045895201807918874,0.24000009038584597,0.035037596352063036,0.46484711857670974,0.0542432425014768,0.44351991806960545,0.05213726961134982
catboost,balanced_acc,0.7009159545635002,0.028469158062219377,0.6983383460039676,0.02563422085423462,0.7030564047185857,0.023175998288432625,0.5816904356986872,0.009878564754429225,0.705603913506232,0.025364985378800633,0.6965558501312236,0.027486077375255925
