model,measure,mean_cont,std_cont,mean_disc,std_disc,mean_disc_imp,std_disc_imp,mean_bin,std_bin,mean_cont_bin,std_cont_bin,mean_disc_bin,std_disc_bin,mean_cont_disc_bin,std_cont_disc_bin
rf,auc_roc,0.5817521367521368,0.13949188786046676,0.5726802626802626,0.09424341096145529,0.5924443674443675,0.10728218351132059,0.5483090783090783,0.052999383476904,0.600513948013948,0.18041937667906752,0.5408332233332234,0.11101809775066496,0.5409053834053834,0.17663133642901552
rf,avg_prec,0.3764129886606358,0.14764473379918397,0.3741228585528018,0.11181613315406753,0.39873753441911153,0.14527056616062273,0.33442270574435734,0.04917972038268087,0.4303079323724166,0.21188391804250392,0.31902819782681563,0.08294600294847296,0.37862274376822586,0.13745063181116374
rf,f1,0.025,0.055901699437494755,0.0,0.0,0.0,0.0,0.23396336996336994,0.13666007977741199,0.07833333333333332,0.07158910531638177,0.0,0.0,0.0,0.0
rf,mcc,-0.04726157434967114,0.08671528237879995,0.0,0.0,-0.01693568509610912,0.037869343120430055,0.026592820072559743,0.15695487691581608,0.0712212581396278,0.11912551274812351,-0.04688676654646753,0.06820057433244178,0.0,0.0
rf,balanced_acc,0.48854816354816355,0.02203177570112476,0.5,0.0,0.49729729729729727,0.006043426966215635,0.5128563178563178,0.06136502617342021,0.5137948387948388,0.020033654559745914,0.4891891891891892,0.017619465960007144,0.5,0.0
balanced_rf,auc_roc,0.6293418968418968,0.1857857221199735,0.5856579106579106,0.08335561958248787,0.5946859221859222,0.07681111011777672,0.5371012496012495,0.08823394859278949,0.6466605616605616,0.16206523632613443,0.5869544819544819,0.12387723238075768,0.6239598664598665,0.1559904828886554
balanced_rf,avg_prec,0.43899318296492157,0.1927550897482163,0.3538055279103448,0.07234720726436009,0.3625003087468385,0.08277689331262562,0.34003388950104146,0.08837095962219213,0.47037967409341414,0.2207985803692015,0.37476444674833287,0.10586601858399824,0.44666686054107396,0.18016386090626424
balanced_rf,f1,0.3316009852216749,0.22609723267997547,0.3828146109220688,0.1621726721453272,0.392153443766347,0.10983437985301688,0.3495238095238095,0.11286819314998939,0.4216359124746221,0.24859173492453698,0.40316565421843265,0.12829823501347204,0.3902755477708039,0.19420409171122943
balanced_rf,mcc,0.09093637853514919,0.2672267809582902,0.05808964179961813,0.21549082892707028,0.07407251681432188,0.14403271606799498,0.053471968559949956,0.13100923315175467,0.23281244958280545,0.30482689543017427,0.10525750574247665,0.1780139607126479,0.12061586974188217,0.277050055804427
balanced_rf,balanced_acc,0.5525088275088276,0.13136324965564986,0.5312381612381613,0.11799875239857738,0.5361508761508762,0.0775665167168199,0.5288103488103488,0.0658369395982445,0.6175119625119626,0.15184030830189624,0.5581582681582681,0.09819379544636005,0.5629134079134079,0.14851712016871543
catboost,auc_roc,0.6228444653444654,0.1392312060889905,0.5700610225610225,0.09542804936458942,0.5547747472747473,0.11783857935192461,0.5481074756074756,0.1045530152824959,0.5954481679481679,0.16849596293969826,0.5379340054340054,0.15589740178583136,0.6077353452353452,0.17520689471727946
catboost,avg_prec,0.38537908283650746,0.12958595978745616,0.3314362636981402,0.06745429125021316,0.3438211361239176,0.10481867059362304,0.35205649969971664,0.08865385579898381,0.39413964397049916,0.14617553438138484,0.3532014748851313,0.1229981830049989,0.3875509414375311,0.1635236142082408
catboost,f1,0.065,0.09287087810503356,0.06797385620915034,0.10015153625818538,0.08214285714285714,0.12601627688840963,0.02857142857142857,0.06388765649999399,0.11388888888888889,0.11128458680005628,0.09411764705882353,0.09843059135695006,0.07205882352941176,0.06584886228599444
catboost,mcc,-0.01766052699647674,0.08996866250347009,-0.0383689355579278,0.132279979056631,-0.032399823775628965,0.1504838612730779,-0.05939832185197247,0.17489308804991074,0.02675313062446144,0.15664965793014993,0.0004958814020585234,0.1376083513046846,0.0064589463460525045,0.13352279765950903
catboost,balanced_acc,0.497977922977923,0.019349738436362156,0.4871671121671121,0.04925520435009644,0.4893789393789394,0.05125679512350197,0.48013975513975515,0.0398717069860839,0.5085334785334786,0.04073257238856037,0.4969375969375969,0.04780910545695081,0.4996549846549846,0.02291935735098134
