model,measure,mean_cont,std_cont,mean_disc,std_disc,mean_disc_imp,std_disc_imp,mean_bin,std_bin,mean_cont_bin,std_cont_bin,mean_disc_bin,std_disc_bin
rf,auc_roc,0.7403541224691381,0.030846046844457218,0.7204036713641994,0.027320092887345767,0.7231503342651922,0.009760795385766947,0.5936684945336973,0.03903315700772617,0.7491010587567328,0.04398840532676818,0.7142351259726496,0.030321454507464592
rf,avg_prec,0.1545090874460017,0.033146629316283656,0.136721067034324,0.04173108215333333,0.12282800457587388,0.03456757301376709,0.07660898936940772,0.017488903476046456,0.1489848649167121,0.022652011769842516,0.11484943371231486,0.018813322045296312
rf,f1,0.0,0.0,0.0,0.0,0.0,0.0,0.08096976394774177,0.0234200747079954,0.0,0.0,0.0,0.0
rf,mcc,0.0,0.0,-0.0027594446384755908,0.0037785259216993015,-0.0027594446384755908,0.0037785259216993015,0.02369006778922351,0.030928012024098887,0.0,0.0,-0.0019511990287071385,0.004363013665820726
rf,balanced_acc,0.5,0.0,0.4998020781306617,0.0002710157364447176,0.4998020781306617,0.0002710157364447176,0.5129940364930464,0.01754741319595083,0.5,0.0,0.4998021760633037,0.0004423477700296307
balanced_rf,auc_roc,0.7800523270129429,0.036811400467831316,0.7657232119638028,0.023531771988457,0.7681719364285283,0.028270749451700175,0.6854420723829904,0.029193212363030012,0.7756109834876118,0.04482892815870404,0.7734336878468704,0.04439161594779504
balanced_rf,avg_prec,0.17404978817824188,0.04850354766937393,0.1598406462689837,0.052668570963297585,0.15117262323918074,0.03492313073062706,0.09564470876584605,0.020998454909096936,0.16488810376454452,0.04702618749847467,0.14912203802487747,0.04981535655471548
balanced_rf,f1,0.2239530580300148,0.04525420637647352,0.20173017358317055,0.021816697843148086,0.20875427165172983,0.027039684302961893,0.14732894420831308,0.016722074542658803,0.2180166799985342,0.026685408147401085,0.21483867843522525,0.03838890773887454
balanced_rf,mcc,0.20010268319894647,0.05783814075670517,0.17825992652540473,0.027982689059334882,0.1874073924393421,0.03526347009304008,0.10966281819997867,0.026140164904689366,0.19271153693052973,0.033358751539750105,0.19662554821147685,0.05179264929014945
balanced_rf,balanced_acc,0.673564490062158,0.046320666927908,0.6649571078226542,0.022350556499667235,0.6722899403269231,0.029537697405773077,0.6138249916227548,0.025414195753024456,0.6676774396415189,0.026240116508173292,0.681521144573882,0.04468603507128119
catboost,auc_roc,0.7646232467667422,0.02764344771059296,0.7637269243258245,0.044610690411715066,0.7660549829725245,0.0431685982471377,0.6976239293706497,0.05847666557330551,0.7597357844445818,0.03864891483773256,0.7671826603283607,0.05348584338534762
catboost,avg_prec,0.17123182848224078,0.0388280487956073,0.15087858829425346,0.029549639489299583,0.15652868177649043,0.03412521795433644,0.09658144599325573,0.022896072825049428,0.16871224493548123,0.02677051324607074,0.16578471799634795,0.05551501229664589
catboost,f1,0.028097062579821197,0.04507233980848351,0.0,0.0,0.015384615384615385,0.02106625221173716,0.0,0.0,0.015239477503628446,0.02086909121124587,0.007692307692307693,0.017200522903844537
catboost,mcc,0.043821127850685586,0.07036515669476799,-0.003332923726611165,0.004673505561235673,0.04951114190344454,0.07960542544896018,-0.0013803889184662947,0.00308664345707805,0.04064241661060315,0.06926088338351408,0.021475385487221464,0.06463682212630154
catboost,balanced_acc,0.5070138399318813,0.012155788487914676,0.4997030680355534,0.0004424575741847995,0.5034269104654072,0.005835369543101769,0.49990099009900996,0.00022139286905938533,0.503130370426222,0.005934371140054607,0.5012683022149853,0.004865139459315316
