k,classifier,auc_roc,avg_prec,f1,mcc,balanced_acc
1,rf,0.7198,0.2416,0.1556,0.129,0.5513
1,balanced_rf,0.815,0.2644,0.2914,0.2624,0.7266
1,catboost,0.7957,0.2617,0.178,0.1451,0.564
5,rf,0.7198,0.2416,0.1556,0.129,0.5513
5,balanced_rf,0.815,0.2644,0.2914,0.2624,0.7266
5,catboost,0.7957,0.2617,0.178,0.1451,0.564
10,rf,0.7167,0.2443,0.1546,0.1283,0.5508
10,balanced_rf,0.8145,0.268,0.2918,0.2632,0.728
10,catboost,0.791,0.2597,0.1786,0.1454,0.5645
