cohort,knn_k,measured_pairs,value_and_range,value_and_range_pct,value_no_range,value_no_range_pct,imputable_mean,imputable_pct_of_measured,imputable_pct_of_no_range
cohort_F17-C22,1,492069,423410,86.0,68659,14.0,19416.0,3.9,28.3
mimic_cohort_NF_30_days,1,242113,215613,89.1,26500,10.9,15168.0,6.3,57.2
mimic_cohort_aplasia_45_days,1,194914,174491,89.5,20423,10.5,11598.0,6.0,56.8
