strategy,classifier,auc_roc,avg_prec,f1,mcc,balanced_acc
widest,rf,0.7225,0.2422,0.1578,0.1316,0.5526
widest,balanced_rf,0.8124,0.2635,0.2942,0.2676,0.7343
widest,catboost,0.7906,0.264,0.1785,0.1442,0.5644
average,rf,0.7245,0.2435,0.1578,0.1312,0.5526
average,balanced_rf,0.8121,0.2631,0.2936,0.2668,0.7335
average,catboost,0.788,0.2637,0.1785,0.1438,0.5644
narrowest,rf,0.7224,0.2416,0.156,0.1297,0.5516
narrowest,balanced_rf,0.8121,0.2625,0.2947,0.2685,0.7349
narrowest,catboost,0.7871,0.2646,0.1805,0.1517,0.5647
