strategy_a,strategy_b,comparable_cells,pct_changed,pct_within_to_out,pct_out_to_within
widest,average,267724.3333,0.0006,0.0006,0.0
widest,narrowest,267724.3333,0.0038,0.0038,0.0
average,narrowest,267724.3333,0.0031,0.0031,0.0
