model,measure,mean_cont,std_cont,mean_disc,std_disc,mean_disc_imp,std_disc_imp,mean_bin,std_bin,mean_cont_bin,std_cont_bin,mean_disc_bin,std_disc_bin,mean_cont_disc_bin,std_cont_disc_bin
rf,auc_roc,0.49040885693652336,0.06808666433892188,0.43421552518585405,0.07322263478625268,0.4620563540531464,0.06904861285790784,0.5277046761489423,0.01863515221455809,0.4725891011777138,0.053730524565374055,0.460847136468628,0.09130380883805796,0.4728546148674456,0.10291254905706472
rf,avg_prec,0.06897061622030813,0.014062036079826982,0.06074725116114593,0.012979992849007138,0.06308142852265088,0.014583791101751864,0.07421331751170038,0.008965355099082598,0.06569209657702844,0.013852104857363611,0.0627611973130229,0.014176417081069037,0.06754549477993724,0.01739624176972852
rf,f1,0.006896551724137931,0.015421158465515792,0.006666666666666666,0.014907119849998597,0.006666666666666666,0.014907119849998597,0.06048544221704331,0.016991174780048957,0.006896551724137931,0.015421158465515792,0.006666666666666666,0.014907119849998597,0.006896551724137931,0.015421158465515792
rf,mcc,-0.019426273439675124,0.029422076563546513,-0.03028626847185293,0.021760727187973495,-0.03028626847185293,0.021760727187973495,-0.02086534529253046,0.012631209146910793,-0.019426273439675124,0.029422076563546513,-0.02950943600688511,0.02223638424474364,-0.019426273439675124,0.029422076563546513
rf,balanced_acc,0.4903946628084559,0.01449656295028277,0.4885314872243501,0.013605466125717796,0.4885314872243501,0.013605466125717796,0.48633673730706606,0.009378569923345742,0.4903946628084559,0.01449656295028277,0.48876404536388496,0.013784728565166594,0.4903946628084559,0.01449656295028277
balanced_rf,auc_roc,0.475950511219156,0.06602894959072216,0.4606703454257584,0.07838651220848603,0.4601223947575191,0.08122424873776296,0.49741126021799636,0.027284088473516266,0.4779210524840035,0.07754434985235859,0.4704679077493833,0.08768437398313285,0.474627366752467,0.08456298606059669
balanced_rf,avg_prec,0.06667837879034197,0.018716133075939136,0.06390370222135475,0.015622840592022905,0.06296974298261325,0.017319330832699344,0.0727315878658544,0.01140489738005422,0.07067957756159109,0.023656184181277466,0.06295494681377431,0.012412754274642435,0.06815416201776794,0.02041876220192285
balanced_rf,f1,0.05304659498207885,0.056500803509916764,0.05242473992037415,0.036979995245237776,0.06043426460922633,0.03600929682097058,0.10185706055642249,0.012735518478495857,0.08147778700741246,0.0616521710411668,0.0589151138716356,0.03353837123082967,0.07431883993510588,0.04550385249020052
balanced_rf,mcc,-0.03656938259205574,0.06681963798613386,-0.05593138348169744,0.04117308481536916,-0.047957405112215815,0.05036630879455014,-0.0039018571546461495,0.01985830965561836,-0.0041741255265144075,0.08096084879289811,-0.050201128583362245,0.04461273866991274,-0.013061315637263201,0.06584015534101724
balanced_rf,balanced_acc,0.47580929896086277,0.051000565403618296,0.4557404904638265,0.033607718956307986,0.45989236638795583,0.04341903589429925,0.49653890082117835,0.019649828695485146,0.494914900656681,0.06035438776846263,0.4589123173004488,0.03941325588374068,0.48650592657809977,0.04621842266785877
catboost,auc_roc,0.430966278664755,0.09251064216829762,0.46841992187621695,0.030436457841872957,0.4892678122910681,0.03698905612714376,0.5024749063642409,0.05940878600170592,0.4474524780218445,0.10049085040972229,0.4887258994235738,0.0637219150039241,0.4569748873598113,0.07174258081112923
catboost,avg_prec,0.06553369417765806,0.02000965132149868,0.06403698788986646,0.00736554709389651,0.0633346968946462,0.0071038524268972674,0.06769276234232065,0.012980281395749122,0.07094834037189199,0.031341590961090154,0.06580021885147538,0.009802344766702765,0.06449664594369757,0.013569477692935362
catboost,f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catboost,mcc,-0.002432440627175182,0.00543910259359593,0.0,0.0,0.0,0.0,0.0,0.0,-0.002432440627175182,0.00543910259359593,0.0,0.0,-0.004222360183668988,0.009441484396172354
catboost,balanced_acc,0.4997668997668997,0.000521227966783175,0.5,0.0,0.5,0.0,0.5,0.0,0.4997668997668997,0.000521227966783175,0.5,0.0,0.4993006993006993,0.0015636839003495002
