cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_K22-M80,disc,balanced_rf,gender,equal_opportunity,tpr,0.13403263403263405,0.534412955465587,M,F,2,2
cohort_K22-M80,disc,balanced_rf,gender,predictive_equality,fpr,0.026745305529509267,0.8518774022842739,M,F,2,2
cohort_K22-M80,disc,balanced_rf,gender,equalised_odds,tpr,0.13403263403263405,0.534412955465587,M,F,2,2
cohort_K22-M80,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.03742054740070844,0.7973512267601341,40-64,65-79,3,3
cohort_K22-M80,disc,balanced_rf,age_band,predictive_parity,ppv,0.09928780896522832,0.15053763440860216,40-64,80+,3,3
cohort_K22-M80,disc,balanced_rf,age_band,equal_opportunity,tpr,0.08571428571428572,0.7142857142857143,65-79,40-64,3,3
cohort_K22-M80,disc,balanced_rf,age_band,predictive_equality,fpr,0.03817712163775122,0.7926092452385319,40-64,65-79,3,3
cohort_K22-M80,disc,balanced_rf,age_band,equalised_odds,tpr,0.08571428571428572,0.7142857142857143,65-79,40-64,3,3
cohort_K22-M80,disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.030248560811064445,0.8396539560797366,M,F,2,2
cohort_K22-M80,disc_bin,balanced_rf,gender,predictive_parity,ppv,0.0520527608062582,0.08473895582329319,M,F,2,2
cohort_K22-M80,disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.2097902097902098,0.4230769230769231,M,F,2,2
cohort_K22-M80,disc_bin,balanced_rf,gender,predictive_equality,fpr,0.02490601694725092,0.8641433095666288,M,F,2,2
cohort_K22-M80,disc_bin,balanced_rf,gender,equalised_odds,tpr,0.2097902097902098,0.4230769230769231,M,F,2,2
cohort_K22-M80,disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.027611866797519424,0.8488019338559624,40-64,65-79,3,3
cohort_K22-M80,disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.11695638376643983,0.1600405165864776,40-64,80+,3,3
cohort_K22-M80,disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.15000000000000002,0.625,65-79,40-64,3,3
cohort_K22-M80,disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.02844031443280326,0.8431440673457988,40-64,65-79,3,3
cohort_K22-M80,disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.15000000000000002,0.625,65-79,40-64,3,3
cohort_K22-M80,disc_imp,balanced_rf,gender,statistical_parity,selection_rate,0.03157923473026511,0.8314015558672958,M,F,2,2
cohort_K22-M80,disc_imp,balanced_rf,gender,predictive_parity,ppv,0.04283073611306097,0.10269607843137254,M,F,2,2
cohort_K22-M80,disc_imp,balanced_rf,gender,equal_opportunity,tpr,0.14918414918414918,0.5076923076923077,M,F,2,2
cohort_K22-M80,disc_imp,balanced_rf,gender,predictive_equality,fpr,0.028051712808780938,0.8473677481005929,M,F,2,2
cohort_K22-M80,disc_imp,balanced_rf,gender,equalised_odds,tpr,0.14918414918414918,0.5076923076923077,M,F,2,2
cohort_K22-M80,disc_imp,balanced_rf,age_band,statistical_parity,selection_rate,0.03199209255370414,0.826109400990383,40-64,65-79,3,3
cohort_K22-M80,disc_imp,balanced_rf,age_band,predictive_parity,ppv,0.09853468899521531,0.16792929292929293,40-64,80+,3,3
cohort_K22-M80,disc_imp,balanced_rf,age_band,equal_opportunity,tpr,0.1357142857142857,0.6122448979591837,65-79,40-64,3,3
cohort_K22-M80,disc_imp,balanced_rf,age_band,predictive_equality,fpr,0.033129679418395785,0.819349483926106,40-64,65-79,3,3
cohort_K22-M80,disc_imp,balanced_rf,age_band,equalised_odds,tpr,0.1357142857142857,0.6122448979591837,65-79,40-64,3,3
