itemid,mean_bin,mean_cont,mean_disc,mean_disc_imp,std_bin,std_cont,std_disc,std_disc_imp
50803,0.0019210546308811801,0.0001779788355275,0.00052124198146796,0.00051710334618006,0.0008766253366699697,0.00017500690241056824,0.00044673866136408586,0.0004834434135214481
50804,0.01291954332290152,0.00734784805935936,0.00959748270410256,0.009596075478602,0.00205865547612901,0.0016175523671927282,0.002220430517212912,0.002318968102789778
50805,7.259461511842495e-05,3.356028368794e-05,6.522050680736e-05,6.522050680736e-05,9.217605679227232e-05,7.504307567041117e-05,9.077502597199872e-05,9.077502597199872e-05
50806,0.004717196020686159,0.0021697379047542,0.0038755864395449797,0.00357159050589054,0.001063090855923643,0.0011924212599359588,0.0009130881038383341,0.0007318559864802419
50808,0.00784220818217032,0.00369794403927596,0.00720633969955998,0.006964195028800579,0.002807275423552279,0.0013399353576741024,0.002942135255723983,0.002402497570499482
50809,0.00558802320573044,0.0020883208403911597,0.0037905501004991205,0.0037166035923571804,0.0014332071344223007,0.00044493825056419594,0.0006978236294204519,0.0010506959832081856
50811,0.0055593335290503,0.00243345401062576,0.0031190755017831,0.0030058485871702597,0.0015458966891738356,0.0011195786102798113,0.0011484682124245059,0.0014024509525710142
50813,0.01685438369729498,0.00925116568285774,0.01526950534131416,0.01517207661848144,0.0030602572130339956,0.0020345825389504954,0.0017203303472340303,0.002253695948165835
50818,0.0115471335906822,0.00833365981635316,0.01219416369225582,0.01207304456658698,0.0028176091978589454,0.0021620468901909313,0.0038820217561511654,0.004016615935580691
50820,0.01261460866445234,0.00560689460051512,0.01004578307609808,0.0099867172736086,0.000840626258819548,0.0006965374243866899,0.0011521903062135228,0.0012820866166327665
50821,0.013585688755045618,0.007284245589447939,0.009228347626510019,0.009246540468679221,0.001764886500972788,0.0022975968011598553,0.0031889373834507037,0.003477578114860036
50822,0.01825598455517382,0.0023214245021852204,0.00528088204415696,0.004902082197403601,0.004056014211629408,0.0009257763687710083,0.0013428503891942227,0.0014731978720585455
50824,0.01127965653634556,0.00255837079566872,0.00399992628401974,0.00393551508004164,0.0035850230672074455,0.0012696182245283526,0.0008212659227282496,0.0008054136880056663
50853,0.001535763013078,3.976158214763977e-05,0.0005018150000592126,0.0005051914696793201,0.0005853875114764068,6.420832418153142e-05,0.000302164836970832,0.0002554502833301388
50856,0.00012729185371550852,0.0,0.00014224888887651732,0.00012976925381623733,0.00012689531743723006,0.0,9.91067542464575e-05,9.919194928999261e-05
50861,0.0203957442261649,0.010809106929183101,0.01394793695351244,0.014111468892434639,0.0017070777994827315,0.002400897197582852,0.001479877936660943,0.0016373323714065635
50862,0.02771690475831422,0.012735919788494459,0.013808588262659679,0.0139493935025712,0.0033543141148798137,0.0022078525635321343,0.0032957569672308123,0.0035540098194580005
50863,0.02004712002930224,0.016079039160748397,0.01895944258210844,0.01860168274756484,0.003996533948521082,0.004568639653232062,0.0016172667182298651,0.002575607057078551
50866,3.599999999998e-05,0.0,2.3200343200340002e-05,2.3200343200340002e-05,8.049844718994771e-05,0.0,5.1877544497285264e-05,5.1877544497285264e-05
50867,0.00309769310354518,0.0003726765248517,0.0011112356376733802,0.00109125256096316,0.001110481981637462,0.00013270848434341975,0.0006071074155119049,0.0006431408772202473
50868,0.0439816467913439,0.04269925765582492,0.03809274453885614,0.038453727751366865,0.005444333385666805,0.007376622340158047,0.010579645367815032,0.010213736808142826
50878,0.019370718169308302,0.00876062554471068,0.0111899647493651,0.01144183497295574,0.002144954552795662,0.00167587810631537,0.0007270435434452233,0.00043750600475231567
50881,9.43953203476771e-05,0.0,2.2886912145341152e-05,2.852989890056e-05,6.42849889946563e-05,0.0,4.394448009660112e-05,6.379479333284867e-05
50882,0.00279156253339622,0.020702388803003062,0.014305661341883161,0.014094702397929721,0.00038949422689921735,0.004614992542713028,0.0034756458494019987,0.003150511995865346
50883,0.0009184755026759,4.817204301074e-05,0.00045186398262187996,0.00039864872155515995,0.00036331284436677536,0.00010771596278705827,0.00015082505778470727,8.754069561097281e-05
50885,0.016378007642563242,0.01024172114889378,0.00951870476927586,0.009952520507431159,0.0012334054299791104,0.0011686998334409953,0.0010775101246614431,0.0009225859162202772
50889,0.00727904220206526,0.00092809077820292,0.00276891580234804,0.00255200109267588,0.0016853083320529385,0.0005263944342982754,0.0010219028464666818,0.0008009743432160697
50890,0.0004090744456881353,1.7728750123116292e-05,0.00019083616681826,0.00022028217620794003,0.00023826193918660514,3.964269043139579e-05,0.00016617933969321802,0.00022414081137754846
50891,0.00051851617021762,4.139609927142926e-05,7.652443789101163e-05,0.00015455890093641164,0.0006491167316463381,6.45088817288824e-05,7.547959893147383e-05,0.00012198167069671516
50893,0.01071111510704038,0.02208413871852048,0.0124263838529378,0.011780910842861179,0.001826067324032214,0.004095455798335584,0.003145769422292928,0.0027081190403180962
50894,7.9000577276703e-05,0.0,8.681016420204e-05,8.681016420204e-05,0.0001328018953876733,0.0,7.983783624675136e-05,7.983783624675136e-05
50896,3.162865998302e-05,0.0,0.0,0.0,7.072383375926006e-05,0.0,0.0,0.0
50902,0.0029155870783189202,0.028575517906033097,0.02265012342545052,0.02357043704750298,0.0006487710264755865,0.0037993101103301627,0.004069203895405294,0.004000993250082877
50904,0.01092373993155318,0.00161720291608882,0.00430139691322072,0.005553847289676,0.0010627539020133209,0.0007576985379657315,0.00038105976002985323,0.0006999460674649057
50905,0.00017454284522398314,0.00014276104269238,0.00023960102465367836,0.00018897725110131731,0.00015476334893484376,0.00013108310606794402,0.00022438480966285548,0.00023156946706817325
50906,0.00019157520544371684,0.0,6.889169883594e-05,1.0389610389610385e-05,0.00012896901758667318,0.0,0.00015404652168260496,2.3231875090906898e-05
50907,0.010594430540435459,0.00197375927118818,0.0059186170999782,0.00535724472908454,0.0014141707505008123,0.0011760584327471409,0.0019662090853177464,0.0018634896776228013
50908,0.0022453814132687598,0.0002176797411601,0.00040961939545176,0.00030436416609526,0.0004742716960431524,0.00016852851084520607,0.00010470943774820322,0.00018796770999121763
50911,0.06400957718519794,0.01948293447839754,0.0201092022362937,0.0203324597953054,0.008074532619513878,0.006980644616167342,0.0045174705586279,0.0044727879190325755
50912,0.004901533603892399,0.03374524464760216,0.0237851014892477,0.02335851246135216,0.001989813333488658,0.007158087413038094,0.0036147834668202607,0.0024021132110672093
50917,0.00084605650326152,5.080245095752e-05,6.781636584450381e-05,9.03582840202438e-05,0.00025121646954065296,0.000113597733764614,8.45645616018143e-05,0.00012787597741672788
50924,0.00888913970185128,0.00264100079093474,0.005043851581878101,0.00479928909703396,0.0008744430855676818,0.00044740672494545807,0.0016475232776280917,0.001390170680994343
50925,0.00094901570533384,5.617571793826001e-05,0.0003482141813547,0.00036461767149781945,0.0002513745294568808,7.96117174980006e-05,0.00018909113028679235,0.0003008665813121782
50927,0.00048144586391424,3.6757842545718355e-05,0.00020387283395423267,0.00016237694286584764,0.0003196145211795086,7.832690880851085e-05,0.00016731947708007103,0.00012435652920353787
50930,0.00076779721632184,2.898550724637671e-06,0.00013072399875918903,0.00011433151588347923,0.00026586286017659066,6.4813564565211064e-06,9.422472990338777e-05,0.00010748178402391054
50935,0.00677020031212708,0.00040426616942615997,0.00139555460064534,0.00145683123368566,0.0031261366420181477,0.00041363813545800367,0.0007246796395076215,0.0005291816362354459
50949,0.00014694913447634933,2.211604095562e-05,0.0,0.0,0.00016920835001518522,4.945297096993573e-05,0.0,0.0
