cohort,feature_set,fold,feature,itemid,representation,importance
cohort_N81-N99,cont,0,cont_50803,50803,cont,0.000604938271604938
cohort_N81-N99,cont,0,cont_50804,50804,cont,0.009165560365560365
cohort_N81-N99,cont,0,cont_50805,50805,cont,0.0
cohort_N81-N99,cont,0,cont_50806,50806,cont,0.0014025974025974022
cohort_N81-N99,cont,0,cont_50808,50808,cont,0.0009012345679012347
cohort_N81-N99,cont,0,cont_50809,50809,cont,0.0022222222222222222
cohort_N81-N99,cont,0,cont_50811,50811,cont,0.00033862433862433863
cohort_N81-N99,cont,0,cont_50813,50813,cont,0.0037975308641975307
cohort_N81-N99,cont,0,cont_50814,50814,cont,0.0
cohort_N81-N99,cont,0,cont_50818,50818,cont,0.0020592592592592594
cohort_N81-N99,cont,0,cont_50820,50820,cont,0.009765432098765434
cohort_N81-N99,cont,0,cont_50821,50821,cont,0.0008412698412698412
cohort_N81-N99,cont,0,cont_50822,50822,cont,0.002491967291967292
cohort_N81-N99,cont,0,cont_50824,50824,cont,0.0013319223985890647
cohort_N81-N99,cont,0,cont_50853,50853,cont,0.0
cohort_N81-N99,cont,0,cont_50856,50856,cont,0.0
cohort_N81-N99,cont,0,cont_50861,50861,cont,0.015509206842540178
cohort_N81-N99,cont,0,cont_50862,50862,cont,0.0053430335097001775
cohort_N81-N99,cont,0,cont_50863,50863,cont,0.012803623536956868
cohort_N81-N99,cont,0,cont_50866,50866,cont,0.0
cohort_N81-N99,cont,0,cont_50867,50867,cont,0.000761904761904762
cohort_N81-N99,cont,0,cont_50868,50868,cont,0.01714782994782995
cohort_N81-N99,cont,0,cont_50877,50877,cont,0.0
cohort_N81-N99,cont,0,cont_50878,50878,cont,0.007856084656084656
cohort_N81-N99,cont,0,cont_50881,50881,cont,0.0
cohort_N81-N99,cont,0,cont_50882,50882,cont,0.016678208211541545
cohort_N81-N99,cont,0,cont_50883,50883,cont,0.0
cohort_N81-N99,cont,0,cont_50885,50885,cont,0.013028413561746898
cohort_N81-N99,cont,0,cont_50889,50889,cont,0.0041333333333333335
cohort_N81-N99,cont,0,cont_50890,50890,cont,0.0
cohort_N81-N99,cont,0,cont_50891,50891,cont,0.0
cohort_N81-N99,cont,0,cont_50893,50893,cont,0.017459836459836463
cohort_N81-N99,cont,0,cont_50894,50894,cont,0.0
cohort_N81-N99,cont,0,cont_50895,50895,cont,0.0
cohort_N81-N99,cont,0,cont_50896,50896,cont,0.0
cohort_N81-N99,cont,0,cont_50899,50899,cont,0.0
cohort_N81-N99,cont,0,cont_50902,50902,cont,0.016276543209876544
cohort_N81-N99,cont,0,cont_50904,50904,cont,0.0
cohort_N81-N99,cont,0,cont_50905,50905,cont,0.0
cohort_N81-N99,cont,0,cont_50906,50906,cont,0.0
cohort_N81-N99,cont,0,cont_50907,50907,cont,0.0003428571428571428
cohort_N81-N99,cont,0,cont_50908,50908,cont,0.0
cohort_N81-N99,cont,0,cont_50910,50910,cont,0.0
cohort_N81-N99,cont,0,cont_50911,50911,cont,0.0005291005291005291
cohort_N81-N99,cont,0,cont_50912,50912,cont,0.013313868847202181
cohort_N81-N99,cont,0,cont_50914,50914,cont,0.0
cohort_N81-N99,cont,0,cont_50915,50915,cont,0.0
cohort_N81-N99,cont,0,cont_50916,50916,cont,0.0
cohort_N81-N99,cont,0,cont_50917,50917,cont,0.0
cohort_N81-N99,cont,0,cont_50924,50924,cont,0.0009012345679012344
cohort_N81-N99,cont,0,cont_50925,50925,cont,0.0
cohort_N81-N99,cont,0,cont_50927,50927,cont,0.0
cohort_N81-N99,cont,0,cont_50930,50930,cont,0.0021419753086419756
cohort_N81-N99,cont,0,cont_50931,50931,cont,0.0
cohort_N81-N99,cont,0,cont_50935,50935,cont,0.0
cohort_N81-N99,cont,0,cont_50945,50945,cont,0.0
cohort_N81-N99,cont,0,cont_50949,50949,cont,0.0
cohort_N81-N99,cont,0,cont_50950,50950,cont,0.0
cohort_N81-N99,cont,0,cont_50951,50951,cont,0.0
cohort_N81-N99,cont,0,cont_50952,50952,cont,0.0
cohort_N81-N99,cont,0,cont_50953,50953,cont,0.000604938271604938
cohort_N81-N99,cont,0,cont_50954,50954,cont,0.005106715506715508
cohort_N81-N99,cont,0,cont_50956,50956,cont,0.002814814814814815
cohort_N81-N99,cont,0,cont_50957,50957,cont,0.0
cohort_N81-N99,cont,0,cont_50960,50960,cont,0.02241346801346801
cohort_N81-N99,cont,0,cont_50964,50964,cont,0.0
cohort_N81-N99,cont,0,cont_50965,50965,cont,0.0
cohort_N81-N99,cont,0,cont_50966,50966,cont,0.0
cohort_N81-N99,cont,0,cont_50967,50967,cont,0.0
cohort_N81-N99,cont,0,cont_50968,50968,cont,0.0
cohort_N81-N99,cont,0,cont_50969,50969,cont,0.0
cohort_N81-N99,cont,0,cont_50970,50970,cont,0.011711046977713644
cohort_N81-N99,cont,0,cont_50971,50971,cont,0.019292707292707295
cohort_N81-N99,cont,0,cont_50976,50976,cont,0.0007901234567901234
cohort_N81-N99,cont,0,cont_50978,50978,cont,0.0
cohort_N81-N99,cont,0,cont_50981,50981,cont,0.0
cohort_N81-N99,cont,0,cont_50982,50982,cont,0.0
cohort_N81-N99,cont,0,cont_50983,50983,cont,0.013768542568542567
cohort_N81-N99,cont,0,cont_50986,50986,cont,0.0
cohort_N81-N99,cont,0,cont_50988,50988,cont,0.0
cohort_N81-N99,cont,0,cont_50989,50989,cont,0.0
cohort_N81-N99,cont,0,cont_50990,50990,cont,0.0
cohort_N81-N99,cont,0,cont_50992,50992,cont,0.0
cohort_N81-N99,cont,0,cont_50993,50993,cont,0.004021326821326821
cohort_N81-N99,cont,0,cont_50994,50994,cont,0.0
cohort_N81-N99,cont,0,cont_50995,50995,cont,0.00048395061728395087
cohort_N81-N99,cont,0,cont_50997,50997,cont,0.0
cohort_N81-N99,cont,0,cont_50998,50998,cont,0.0
cohort_N81-N99,cont,0,cont_51000,51000,cont,0.001037037037037037
cohort_N81-N99,cont,0,cont_51001,51001,cont,0.0
cohort_N81-N99,cont,0,cont_51005,51005,cont,0.0
cohort_N81-N99,cont,0,cont_51006,51006,cont,0.015040083373416707
cohort_N81-N99,cont,0,cont_51007,51007,cont,0.0
cohort_N81-N99,cont,0,cont_51008,51008,cont,0.0
cohort_N81-N99,cont,0,cont_51009,51009,cont,0.0
cohort_N81-N99,cont,0,cont_51010,51010,cont,0.0
cohort_N81-N99,cont,0,cont_51070,51070,cont,0.0
cohort_N81-N99,cont,0,cont_51080,51080,cont,0.0
cohort_N81-N99,cont,0,cont_51099,51099,cont,0.0019259259259259258
cohort_N81-N99,cont,0,cont_51110,51110,cont,0.0
cohort_N81-N99,cont,0,cont_51111,51111,cont,0.0
cohort_N81-N99,cont,0,cont_51114,51114,cont,0.0
cohort_N81-N99,cont,0,cont_51116,51116,cont,0.0
cohort_N81-N99,cont,0,cont_51117,51117,cont,0.0
cohort_N81-N99,cont,0,cont_51118,51118,cont,0.0
cohort_N81-N99,cont,0,cont_51120,51120,cont,0.0
cohort_N81-N99,cont,0,cont_51124,51124,cont,0.0004444444444444444
cohort_N81-N99,cont,0,cont_51125,51125,cont,0.0
cohort_N81-N99,cont,0,cont_51127,51127,cont,0.0
cohort_N81-N99,cont,0,cont_51130,51130,cont,0.0
cohort_N81-N99,cont,0,cont_51131,51131,cont,0.0
cohort_N81-N99,cont,0,cont_51132,51132,cont,0.0
cohort_N81-N99,cont,0,cont_51133,51133,cont,0.008759694626361293
cohort_N81-N99,cont,0,cont_51138,51138,cont,0.0
cohort_N81-N99,cont,0,cont_51139,51139,cont,0.0
cohort_N81-N99,cont,0,cont_51140,51140,cont,0.0
cohort_N81-N99,cont,0,cont_51143,51143,cont,0.0004740740740740741
cohort_N81-N99,cont,0,cont_51144,51144,cont,0.0009259259259259261
cohort_N81-N99,cont,0,cont_51146,51146,cont,0.007865704665704664
