itemid,mean_bin,mean_cont,mean_disc,mean_disc_imp,std_bin,std_cont,std_disc,std_disc_imp
50803,0.0016158961085659,6.943743970829818e-05,0.00046046676724434003,0.00050580170562738,0.0005967968368344799,0.00011161892883304294,0.00026496007307235086,0.00021822345438325918
50804,0.00699537771483794,0.00307825680472102,0.0035081247310242,0.003920205103196741,0.0009787027303232118,0.0004199298095170242,0.0008096014375668215,0.0010532806648958029
50806,0.0046403068189385405,0.0018961727311605197,0.0018919117287605198,0.00228247053258304,0.0016636794570812053,0.0010818388398322176,0.0010503741126023165,0.0011344721242743515
50808,0.01038898883866864,0.00306593065022678,0.00636844277646962,0.0063800231776973805,0.0043968144115188595,0.0009542898689399401,0.0023303497092325683,0.0022815373236098123
50809,0.00415046800694406,0.0013839757663910801,0.0023896743947392197,0.0024984213910014797,0.0007408320425802917,0.0005669641652491076,0.0011896933869193689,0.0014144731615949896
50811,0.0031616847297229003,0.0007454441650513559,0.00128309458237712,0.00103773614630622,0.0007931012118925271,0.0004761106384571029,0.0004514900916470971,0.00018385956850930086
50813,0.01402047142228118,0.003523508970521,0.00459764435651918,0.0053924726812104,0.0032602827590663143,0.0010713967258787597,0.0009353126952453707,0.0008885831418136374
50818,0.0063592303685977,0.0038015079319094203,0.00667959506490024,0.00630643570030458,0.000989141631561971,0.0014646027816517509,0.0011607889698467778,0.001465425456864175
50820,0.009619070261038939,0.00558957499674734,0.0085972966230926,0.00859221523006118,0.0011758808795633963,0.0011693715997291758,0.002218252951928098,0.0020797914590665306
50821,0.006620788679758199,0.0038150765291065395,0.00432739853949358,0.00448591156716616,0.0011952437520554348,0.0008665687418283599,0.0009559416597152404,0.0012639677619757574
50822,0.007559906127678979,0.00226941656014276,0.0025509456839499602,0.0023575307650671,0.002199036836118482,0.0014798711629618146,0.0010483804451228529,0.0012035685570433044
50824,0.0043607349321456,0.0011221736489208799,0.00241074425172122,0.0022958652906058,0.0011728285261767759,0.0008531470659523953,0.0010379638866618746,0.00047389498186836904
50853,0.0038547588374981804,0.0008977288351225,0.00161951791094814,0.0017675158523489,0.0007935243544794025,0.00038037773791111117,0.000594098539749709,0.00039922722166168824
50861,0.0106974863703789,0.01562698152430278,0.00968886840378012,0.0100360800695597,0.002896914384180044,0.0027265649458141986,0.0021660405041980316,0.0022254197342755156
50862,0.025091609691644517,0.01210812836308754,0.01105294033228948,0.01113144117004556,0.003224397018841505,0.0018985733013589232,0.0019335211409541111,0.0017630353768819647
50863,0.01128086498532364,0.01796572232033358,0.014821361419023061,0.01596143213834926,0.001346875604723459,0.004264618708144972,0.0058792458924443215,0.006256171816588322
50866,0.00025090873412258005,4.943722943722e-05,0.0003973118226077214,0.0002970045541186214,0.00021493200802057995,0.00011054500564087758,0.00043075586932231705,0.0002722861826535901
50867,0.0032794377429391204,0.00042971614332014,0.00077898717125862,0.00069130006928792,0.0005940499886104253,0.0002936998073403885,0.0003218064298706438,0.00023028782066110006
50868,0.017677733580403497,0.01852807102947248,0.01157775360710258,0.0111304776335014,0.0032714499398464056,0.0028650174462512166,0.0019574219374644394,0.002335845043189892
50878,0.012365907317301139,0.014221273117391919,0.01046306609345008,0.01026958798827312,0.001939970266885456,0.00268194588370961,0.0017576187726839594,0.0020054412955822945
50881,0.00035428296615124,1.9086973632428015e-06,0.0002160211856654,0.00011543298598631454,0.00029506175037330397,2.8273057920848814e-06,9.893848347295538e-05,2.5985377036123523e-05
50882,0.00190094023225412,0.01656749730362308,0.0035868851590411402,0.0036105261788505197,0.0005786357176042377,0.0027060754910113124,0.0006274215874859358,0.001254549252445774
50883,0.00667114383394368,0.00094933521500884,0.00181042580655842,0.0019670248189790603,0.0013778359390909114,0.0005511794100631669,0.0007032371233171558,0.0007836822172561993
50885,0.01447851777926428,0.0158801959883924,0.0071638273206201,0.00626684257404542,0.002374024427117689,0.0031056478683106764,0.0008496787701191161,0.0011328901929034392
50889,0.02142768476569096,0.0031674276577969,0.00509009132851884,0.005044229665094839,0.003007542727877222,0.0009790621978343673,0.0011107404868170626,0.0016205494894504517
50890,0.0011128296929895601,0.00028443599444978,0.0005527769215827401,0.00055889494401722,0.0009150060354268598,0.0002631782487135154,0.00034084429659881005,0.00032505618748131357
50891,0.0012688846674706,0.0003474580190795,0.0005198513148312401,0.00042643498277485526,0.0007906113227761245,0.0002791540502759244,0.00047637870991211993,0.0003829822326825476
50893,0.0097192391611209,0.016755407094621443,0.00832890053146402,0.008562870632134779,0.0019791778640222994,0.0017564858259094054,0.0015597627585895182,0.0016307995390794565
50902,0.0016017140713343598,0.01352854433117332,0.00433046706823414,0.0043495761326012,0.0009585096088188871,0.0015870925168595213,0.0006217663390535658,0.0010748553854342514
50904,0.0060768786849269,0.0012064196447815801,0.0027144715408992798,0.0032311991077905596,0.001432932477110022,0.0004849301377410903,0.0014487675320336698,0.0011072090016829112
50906,0.00097539542418564,0.00014212669703828003,0.00030169214610801815,0.00026280325721913817,0.000417575811942682,0.00018146904639111715,0.00022239864932710587,9.987614771303807e-05
50907,0.00600246031805998,0.00127943307065092,0.00185030221429992,0.00201587357010026,0.002171027827638588,0.0005130220610148078,0.0007922594081696214,0.0006971298945006383
50908,0.00392755850248534,0.00019383034743644,0.0002998172564717968,0.00038483103057648,0.0026214089427982075,0.00013405147566363082,0.0003114820808763742,0.0004449634779957273
50911,0.03901032161759186,0.0054836058734603205,0.007810554274462039,0.008106489971795,0.013707252686729449,0.0017805515401186516,0.002716396539538125,0.0020816195906591135
50912,0.0018583097355257,0.01623599367676658,0.00587810126887606,0.00583994323464462,0.0005559871217291868,0.001352742686588919,0.0011317214532501195,0.0014901636045331604
50916,0.00025652403371738,1.9393939393939402e-05,2.5606060606059998e-05,3.030303030302e-05,0.000169820573267525,4.336616683635957e-05,5.725689215112962e-05,6.775963568178877e-05
50917,0.00014220402677606248,3.0303030303030318e-06,0.00013274973392615998,6.29215229215e-05,0.00016855219959700582,6.7759635681811846e-06,8.282674212877016e-05,8.840617049248289e-05
50924,0.01145333280120136,0.0024503790781235,0.00406753598502078,0.00405764772858394,0.0024156693667196677,0.0011478093203323555,0.0008222350651863489,0.0006583470139784157
50925,0.0017625556814796401,0.00029688228965736,0.00086890616668794,0.0008266495792329201,0.0003033291103370754,0.00021511314797629993,0.00046430595375617113,0.0003856768109714949
50927,0.0029246611000563,0.0005202114184557,0.0010455932134686798,0.00106945809368652,0.0015252909979793917,0.0005542774039024937,0.0004842474661555099,0.0004028125414681421
50930,0.0072240513831487605,0.00087421352311224,0.0022953743393740603,0.0020772039046677597,0.0019056217069366545,0.0004954146640947429,0.0011137967250671964,0.0011241231388276034
50935,0.00622149487848448,0.00089737277936408,0.00207754953086426,0.0020383452582934,0.0008694843958761155,0.00023778241810719806,0.00015902131472480307,0.0003920160147678256
50949,0.005032202990495361,0.00129795086400588,0.00205263739264156,0.0020568322170456997,0.0013650856187258594,0.0003471828348885518,0.0008139577896009991,0.0005801528680839216
50950,0.00795262148637036,0.0018895528177345598,0.0033250589304170603,0.00288034047213368,0.0023098454080541604,0.0005654154800023685,0.0006498909968099089,0.0009018816597183396
50951,0.006110873845346599,0.00124145688405278,0.00246341703183322,0.00259246777095434,0.00194412442046596,0.0003942749203866459,0.0011619490364677743,0.000887645175706072
50952,0.00553333413131146,0.00100139526006922,0.00189975821475438,0.00208997793274594,0.001450013580827052,0.0004227048400708174,0.000745948513235467,0.0010145677935948204
50953,0.0051643850984829,0.00112342735111186,0.00219980000902556,0.00200554689235328,0.0005368809823284819,0.0007736216059705182,0.00034692864926969425,0.0005191827898376298
50954,0.0353624273973932,0.012576805390322021,0.01230021069815662,0.01220671848104072,0.007969093604157923,0.0029424375153428287,0.0025036026442802136,0.0035195908059219945
50956,0.014621211007130399,0.0040438182791954,0.004820453244591421,0.00442129061682202,0.0020082297616216076,0.0006619081137262196,0.00048708202708103897,0.00042610444101209936
50957,0.00082702535189834,0.00030514522302178,0.00027965380801896,0.00023472632809151906,0.00031880649419495296,0.00014419194367630848,0.0001515871665407671,0.00023447801059940998
50960,0.01019664216013092,0.01943910042572424,0.0046440577190812,0.00436026700075384,0.0023315967237182524,0.0025553067368922883,0.0012350540337108585,0.0005656273707623345
50964,0.00562631482474394,0.00081590935248264,0.0016280195265043998,0.0015650474182998197,0.0017313696456568765,0.00034605501760258725,0.0005282767052493437,0.00035997272634133643
50965,0.00246133418611568,0.00043114914294098,0.0012556175672129599,0.00108472887771592,0.00022892544050286224,0.00030451739969838666,0.0003914954885707702,0.0004058714530355914
50966,0.00056816230275978,3.181818181818e-05,0.00011397522018211425,8.964777585465424e-05,0.0003701672326230209,7.114761746589833e-05,0.00013684727634360585,0.00010412999776470632
50967,0.0007920769345701,5.296037296036e-05,0.00010390270335724001,2.4671328671320003e-05,0.0005145636501822151,0.00011842299405310673,0.000142284256690643,5.516676800431109e-05
50970,0.01017381870969392,0.016866852193330638,0.00838095641805432,0.009615116122478121,0.0022835134170744007,0.0024265508157929505,0.0010075908969338007,0.0009499154427465566
50971,0.01071100462691254,0.01758512811724366,0.00564386538041406,0.00558171315129994,0.0009012777802504887,0.0034937236331967153,0.0013228387223247502,0.001462836786565247
50976,0.00667464538367772,0.00146053749711398,0.0034525716039430403,0.0032857158578794197,0.001013728641734662,0.0005450799167420341,0.0007660201154922897,0.00024490986587873934
50983,0.016265524778023,0.01627987093073386,0.0072568563102936,0.007343938676463541,0.002489283978605333,0.004315806690628364,0.0025046515421293576,0.002318727258186489
50993,0.018095903179998717,0.003923729810012,0.00553688016637182,0.005696742396296599,0.0035448106659964943,0.0012679077931191873,0.0014552888637466392,0.002013497373838415
50994,0.00123507756735116,0.00024180199970793513,0.0005393849733323601,0.00062304150454922,0.00022651066430167438,0.00023417774562903702,0.00021034237266985605,0.000326025113429353
50995,0.00386651834428494,0.0005325153928369,0.00162173643529816,0.00154840621061282,0.0011607616535658039,0.0005021637492797791,0.0005563538905275144,0.0004434821210778238
50998,0.005597560470250599,0.00112817189734192,0.0020162718285929603,0.001947911795863,0.0005533076034289976,0.0005739970243640473,0.0007320758546594113,0.000812024138524432
51000,0.007199773673029761,0.0020423003793287597,0.00242581832392778,0.0020712269043865203,0.0023215472427631388,0.0010432910718665414,0.0005166822898540992,0.0007254905189859081
51001,0.00130976913906094,0.00022178247538621817,0.0005063950056505,0.00043233005173650004,0.0004839305846207277,0.0001946047518621394,0.0002907558925586055,0.00018956586149008052
51006,0.00160463109477308,0.01541949672092408,0.007120451300485641,0.0075246116179607594,0.0005922843358128653,0.0030646159200807743,0.000531162096473881,0.0011802321641124042
51007,0.01741250470892346,0.00290279593344814,0.0048777203854005,0.005321428269258,0.006272464652414125,0.000825850610175119,0.0006152703495152191,0.0007389901508806315
51008,0.00011696174234472267,2.5858585858579998e-05,3.072833599148e-05,7.205589731904314e-05,0.00013496819789319032,5.782155578179964e-05,6.871064811240268e-05,0.00010451171414315066
51009,0.02475012768257722,0.00646007974087978,0.008883768481837,0.008672536112609621,0.003059683460978755,0.0023855312958131285,0.001059950196273196,0.001178830231031363
51010,0.004866737257732,0.00141602772072674,0.0034847407054299203,0.0035099862713309803,0.0013856072683621442,0.0005578933271268272,0.001764993300168993,0.0018120812317193214
51099,0.005130432336288021,0.00026520186303559054,0.000839970766809,0.00117114656702784,0.0018898560878651681,0.00027807872644272386,0.0003472170771563533,0.0003092687438037484
51116,0.0032410486387894994,0.00042798727507953994,0.00086879362787736,0.0008510332484569401,0.0008940362868443413,0.0003244615408031498,0.00028857654532167223,0.00021267653406683445
51117,0.00203686321215578,0.00048542405824506,0.00128607219255678,0.00132961748355534,0.000890891600442183,0.0002988948382344206,0.0003445156700605538,0.0005366355196782296
51118,0.00075843744446516,0.00022664290255198626,0.00027317388123872,0.00031882388025859635,0.0004926458982088839,0.00022741751742528444,0.00019241264147562223,0.00036973059282678384
51120,0.00257787035216904,0.0003689542225567,0.0010966030015139802,0.00122985525837122,0.0009785196804872052,0.000527592414575437,0.0007059970476001513,0.0007743851786357587
51125,0.00265518152422908,0.00044256062937274006,0.00140666578631678,0.0015512848718081998,0.0009186333271744852,0.000293165380936655,0.0005880110688345477,0.0008315662656062538
